seed,solver_step,distinct_assignments,assignments_json
0,2,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
0,3,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
0,4,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
0,6,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""cold"": [""zai-org/GLM-5.2"", ""accuracy_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""]}"
0,9,2,"{""cold"": [""zai-org/GLM-5.2"", ""accuracy_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""]}"
1,1,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""cold"": [""zai-org/GLM-5.2"", ""adversarial_verifier""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""]}"
1,2,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""cold"": [""zai-org/GLM-5.2"", ""accuracy_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""]}"
1,3,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
1,5,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
1,6,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""cold"": [""zai-org/GLM-5.2"", ""adversarial_verifier""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""]}"
1,10,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
1,11,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
2,6,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""cold"": [""zai-org/GLM-5.2"", ""adversarial_verifier""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""]}"
2,7,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""cold"": [""zai-org/GLM-5.2"", ""architecture_proposer""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""architecture_proposer""]}"
2,9,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
2,11,2,"{""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
3,1,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
3,6,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""cold"": [""zai-org/GLM-5.2"", ""spectral_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""spectral_critic""]}"
3,7,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""cold"": [""zai-org/GLM-5.2"", ""accuracy_critic""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""accuracy_critic""]}"
3,11,2,"{""archive_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""cold"": [""zai-org/GLM-5.2"", ""adversarial_verifier""], ""diagnostic_only"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""full_feedback"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""], ""two_stage"": [""nvidia/Cosmos3-Super-Reasoner"", ""adversarial_verifier""]}"
